('Tamarindo', 100, 3.20, 0, 72.53, 6.44, 37.10, 0.55, 0.35, 275.69, 3),
('Tangerina poncã', 100, 0.84, 0, 9.60, 0.94, 12.89, 0.11, 0, 37.83, 3),
('Suco de tangerina poncã', 100, 0.52, 0, 8.8, 0, 4.2, 0, 0, 36.10, 3),
('Tucumã', 100, 2.09, 0, 26.47, 12.65, 46.33, 0.56, 3.89, 262.01, 3),
('Umbu', 100, 0.84, 0, 9.39, 1.98, 11.56, 0.09, 0, 37.01, 3),
('Polpa de umbu congelada', 100, 0.51, 0, 8.78, 1.33, 10.71, 0.20, 5.77, 33.94, 3),
('Uva itália', 100, 0.74, 0, 13.57, 0.92, 6.66, 0.14, 0, 52.87, 3),
('Uva rubi', 100, 0.60, 0, 12.69, 0.93, 7.61, 0.17, 7.91, 49.06, 3),
('Suco de uva concentrado envasado', 100, 0, 0, 14.70, 0.23, 9.31, 0.12, 9.58, 57.65, 3),
('Azeite de dendê', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Azeite de oliva extra virgem', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Manteiga com sal', 100, 0.41, 200.55, 0.06, 0, 9.42, 0.15, 578.69, 725.96, 4),
('Manteiga sem sal', 100, 0.39, 213.95, 0, 0, 3.60, 0, 3.84, 757.54, 4),
('Margarina com óleo hidrogenado com sal', 100, 0, 0, 0, 0, 5.55, 0.08, 894.03, 596.11, 4),
('Margarina com óleo hidrogenado sem sal', 100, 0, 0, 0, 0, 2.59, 0.05, 77.89, 722.52, 4),
('Margarina com óleo interesterificado com sal', 100, 0, 0, 0, 0, 4.54, 0, 560.79, 594.45, 4),
('Margina com óleo interesterificado sem sal', 100, 0, 0, 0, 0, 4.96, 0.07, 33.19, 593.13, 4),
('Óleo de babaçu', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Óleo de canola', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Óleo de girassol', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Óleo de milho', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Óleo de pequi', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Óleo de soja', 100, 0, 0, 0, 0, 0, 0, 0, 884, 4),
('Filé de abadejo assado', 100, 23.52, 102.79, 0, 0, 22.60, 0.52, 334.39, 111.61, 5),
('Filé de abadejo cozido', 100, 19.34, 86.86, 0, 0, 16.73, 0.32, 189.33, 91.10, 5),
('Filé de abadejo cru', 100, 13.08, 31.40, 0, 0, 10.17, 0.10, 78.51, 59.11, 5),
('Filé de abadejo grelhado', 100, 27.61, 135.85, 0, 0, 20.17, 0.32, 305.09, 129.64, 5),
('Atum em conversa em óleo', 100, 26.18, 52.93, 0, 0, 6.51, 1.22, 362.14, 165.91, 5),
('Atum fresco cru', 100, 25.68, 47.8, 0, 0, 6.69, 1.27, 30.30, 117.50, 5),
('Bacalhau salgado cru', 100, 29.03, 138.88, 0, 0, 156.96, 0.85, 13585.05, 135.89, 5),
('Bacalhau salgado refogado', 100, 23.97, 111.96, 1.22, 0, 59.12, 0.15, 1256.27, 139.66, 5),
('Cação em postas com farinha de trigo frito', 100, 24.95, 74.90, 3.10, 0.53, 30.44, 0.99, 160.03, 208.33, 5),
('Cação em postas cozido', 100, 25.58, 83.25, 0, 0, 10.32, 0.31, 114.90, 116.01, 5),
('Cação em postas cru', 100, 17.85, 36.12, 0, 0, 8.70, 0.20, 176.02, 83.33, 5),
('Camarão rio grande cozido', 100, 18.96, 204.85, 0, 0, 89.74, 1.27, 366.55, 90.01, 5),
('Camarão rio grande cru', 100, 9.91, 123.98, 0, 0, 51.11, 0.66, 201.12, 47.18, 5),
('Camarão sete barbas frito', 100, 18.38, 283.13, 2.87, 0, 959.70, 2.43, 99.05, 231.24, 5),
('Caranguejo cozido', 100, 18.47, 84.60, 0, 0, 357.15, 2.86, 360.10, 82.72, 5)
('Corimba cru', 100, 17.36, 40.23, 0, 0, 40.05, 0.50, 47.01, 128.15, 5),
