00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;112;Banana da terra crua                         ;100;128,02;0;33,66;1,52;4,15;0,29;0;1,43;3
2;113;Doce de banana em barra                      ;100;280,1;0;75,66;3,83;11,95;0,61;9,88;2,16;3
2;114;Banana figo crua                             ;100;105,08;0;27,8;2,8;6,35;0,19;0;1,13;3
2;115;Banana maçã                                  ;100;86,8;0;22,33;2,59;3,22;0,2;0;1,75;3
2;116;Banana nanica                                ;100;91,52;0;23,84;1,94;3,41;0,34;0;1,39;3
2;117;Banana ouro                                  ;100;112,36;0;29,34;1,95;3,18;0,33;0;1,48;3
2;118;Banana pacova                                ;100;77,9;0;20,31;2,03;5,49;0,37;0,93;1,22;3
2;119;Banana prata                                 ;100;98,24;0;25,95;2,04;7,56;0,38;0;1,26;3
2;120;Cacau cru                                    ;100;74,29;0;19,41;2,18;12,1;0,25;0,7;0,95;3
2;224;Cajá-manga                                   ;100;45,58;0;11,43;2,57;12,74;0,15;1,43;1,27;3
2;225;Polpa de cajá congelada                      ;100;26,32;0;6,37;1,36;9,16;0,32;6,94;0,58;3
2;226;Caju cru                                     ;100;43,06;0;10,28;1,68;1,41;0,15;2,96;0,97;3
2;227;Polpa de caju congelada                      ;100;36,56;0;9,35;0,81;0,83;0,14;4,16;0,48;3
2;228;Suco de caju concentrado envasado            ;100;45,1;0;10,73;0,62;0,97;0,14;45,04;0,4;3
2;229;Caqui chocolate                              ;100;71,35;0;19,32;6,51;17,84;0,09;2,18;0,35;3
2;230;Carambola                                    ;100;45,74;0;11,48;2,03;4,78;0,19;4,09;0,87;3
2;231;Ciriguela                                    ;100;75,59;0;18,85;3,9;27,41;0,35;1,68;1,39;3
2;232;Cupuaçu                                      ;100;49,42;0;10,43;3,11;13,12;0,48;3,19;1,16;3
2;233;Polpa de cupuaçu congelada                   ;100;48,79;0;11,38;1,59;5,49;0,25;0,68;0,84;3
2;234;Figo                                         ;100;41,44;0;10,24;1,79;27,39;0,2;0;0,96;3
2;235;Figo em caldas enlatado                      ;100;184,36;0;50,33;1,97;32,61;0,5;6,87;0,56;3
2;236;Fruta-pão                                    ;100;67,04;0;17,17;5,54;33,67;0,23;0,79;1,08;3
2;237;Goiaba branca com casca                      ;100;51,73;0;12,4;6,33;5;0,17;0;0,89;3
2;238;Doce de goiaba em pasta                      ;100;268,95;0;74,12;3,73;10,06;0,4;3,7;0,57;3
2;239;Doce de goiaba cascão                        ;100;285,58;0;78,7;4,36;14,69;0,4;11,02;0,41;3
2;240;Goiaba vermelha com casca                    ;100;54,16;0;13;6,22;4,45;0,17;0;1,08;3
2;241;Graviola                                     ;100;61,62;0;15,83;1,9;40,11;0,16;4,16;0,84;3
2;242;Polpa de graviola congelada                  ;100;38,27;0;9,78;1,18;5,97;0,1;3,04;0,56;3
2;243;Jabuticaba                                   ;100;58,05;0;15,25;2,29;8,34;0,09;0;0,61;3
2;244;Jaca                                         ;100;87,92;0;22,49;2,38;11,24;0,38;1,8;1,4;3
2;245;Jambo                                        ;100;26,91;0;6,49;5,07;13,8;0,13;21,65;0,88;3
2;246;Jamelão                                      ;100;41;0;10,62;1,77;3,09;0,04;1,36;0,54;3
2;247;Kiwi                                         ;100;51,13;0;11,49;2,65;23,91;0,25;0;1,33;3
2;248;Laranja-baía                                 ;100;45,43;0;11,46;1,12;35,4;0,13;0;0,97;3
2;249;Suco de laranja baía                         ;100;36,64;0;8,69;0;5,92;0,06;0;0,65;3
2;250;Laranja da terra                             ;100;51,47;0;12,86;3,97;51,08;0,14;0,83;1,07;3
2;251;Suco de laranja da terra                     ;100;40,95;0;9,57;1,03;13,38;0,08;0;0,66;3
2;252;Laranja lima                                 ;100;49,7;0;11,53;1,78;31,46;0,12;1,11;1,05;3
2;253;Suco de laranja lima                         ;100;39,33;0;9,16;0,42;7,73;0;0;0,71;3
2;254;Laranja pêra                                 ;100;36,77;0;8,94;0,76;21,88;0,09;0;1,04;3
2;255;Suco de laranja pêra                         ;100;32,7;0;7,55;0;7,36;0;0;0,73;3
2;256;Laranja valência                             ;100;46,1;0;11,72;1,72;33,73;0,09;0,62;0,76;3
2;257;Suco de laranja valência                     ;100;36,19;0;8,55;0,42;9,07;0;0;0,48;3
2;258;Suco de limão cravo                          ;100;14,1;0;5,24;0;10,18;0,07;0;0,32;3
2;259;Suco de limão galego                         ;100;22,22;0;7,32;0;5,26;0,05;0;0,56;3
2;260;Limão tahiti                                 ;100;31,81;0;11,08;1,18;50,98;0,17;1,24;0,93;3
2;261;Maçã argentina com casca                     ;100;62,53;0;16,58;2,02;3,39;0,05;1,31;0,22;3
2;262;Maçã fuji com casca                          ;100;55,51;0;15,15;1,34;1,92;0,09;0;0,28;3
2;263;Macaúba                                      ;100;404,28;0;13,94;13,44;66,53;0,8;0,65;2,08;3
2;264;Doce de mamão em caldas drenado              ;100;195,62;0;54;1,31;20,01;0,1;2,91;0,19;3
2;265;Mamão formosa                                ;100;45,34;0;11,55;1,81;24,87;0,23;3,25;0,81;3
2;266;Mamão papaia                                 ;100;40,15;0;10,43;1,04;22,41;0,19;1,63;0,45;3
2;267;Doce de mamão verde em caldas drenado        ;100;209,37;0;57,63;1,23;12,43;0,15;4,74;0,31;3
2;268;Manga haden                                  ;100;63,5;0;16,66;1,58;11,65;0,09;0,55;0,4;3
2;269;Manga palmer                                 ;100;77,49;0;19,35;1,63;11,63;0,09;1,86;0,41;3
